pathways	KEGGREST_genes	name	pathwayclass	category
hsa00514	8473, 285203, 23509, 23275, 4242, 3955, 5986, 2683, 8704, 8703, 6480, 84620, 6487, 145173, 56983, 283464, 727936, 152002, 79709, 23127, 8985, 10585, 29954, 442117, 11227, 64409, 63917, 79695, 114805, 79623, 57452, 117248, 374378, 168391, 55568, 2590, 2591, 2589, 11226, 8693, 50614, 51809, 26290, 100528030, 56913, 29071, 728819	Other types of O-glycan biosynthesis - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	Metabolism
hsa00515	10585, 29954, 55624, 2683, 8704, 8703, 6487, 27087, 135152, 9486, 10690, 2526, 146664, 84892, 148789, 84197, 729920, 2218, 79147, 10329, 11041, 9215, 120071	Mannose type O-glycan biosynthesis - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	Metabolism
hsa00520	27159, 1118, 3073, 3074, 55577, 5238, 6675, 91373, 10020, 5973, 54187, 140838, 80896, 55907, 51706, 1727, 51700, 606495, 51167, 3101, 3098, 3099, 80201, 51005, 64841, 10007, 132789, 9945, 2673, 80146, 2645, 2821, 5236, 55276, 7360, 7358, 2584, 2592, 2582, 5373, 5372, 29925, 29926, 2762, 4351, 197258, 8790, 7264	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	Metabolism
hsa00524	3101, 3098, 3099, 80201, 2645	Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)	Metabolism; Biosynthesis of other secondary metabolites	Metabolism
hsa00531	8692, 3373, 6677, 23553, 8372, 2990, 3423, 3425, 411, 10855, 60495, 6448, 138050, 4669, 2588, 2720, 2799, 3073, 3074	Glycosaminoglycan degradation - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	Metabolism
hsa00532	64131, 64132, 11285, 126792, 26229, 55790, 55454, 337876, 22856, 79586, 54480, 29940, 50515, 55501, 166012, 9469, 56548, 51363, 10090, 113189	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	Metabolism
hsa00533	2530, 2683, 8704, 8703, 10678, 4166, 8702, 93010, 8534, 6487, 9435, 10164, 6482, 6483	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	Metabolism
hsa00534	64131, 64132, 11285, 126792, 26229, 2135, 2137, 2134, 2131, 2132, 3340, 8509, 9348, 64579, 26035, 9653, 9394, 90161, 266722, 9957, 9956, 9953, 9955, 222537	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	Metabolism; Glycan biosynthesis and metabolism	Metabolism
hsa00561	132158, 217, 224, 219, 501, 223, 231, 57016, 10327, 26007, 2712, 2710, 57678, 150763, 137964, 84803, 10554, 10555, 56894, 56895, 55326, 253558, 154141, 129642, 8611, 8613, 8612, 23175, 64900, 9663, 84513, 196051, 8525, 8527, 9162, 1606, 8526, 1607, 160851, 1608, 1609, 139189, 8694, 84649, 346606, 1056, 57104, 80339, 5406, 5407, 5408, 119548, 3990, 8513, 9388, 4023, 55750, 11343, 116255, 80168, 2717	Glycerolipid metabolism - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
hsa00562	5289, 4534, 8776, 8898, 8897, 9110, 55613, 9107, 9108, 64419, 5297, 5298, 55361, 55300, 22908, 22876, 23396, 8394, 8395, 138429, 4952, 3633, 56623, 8867, 8871, 5290, 5293, 5291, 5294, 5728, 3635, 3636, 5288, 5286, 5287, 3631, 8821, 200576, 9896, 79837, 5305, 8396, 23236, 5330, 5331, 5332, 5333, 113026, 84812, 51196, 5335, 5336, 89869, 23007, 9651, 3613, 3612, 10423, 51477, 3628, 3632, 51763, 27124, 9562, 3707, 3706, 80271, 3705, 253430, 64768, 55586, 4329, 7167	Inositol phosphate metabolism - Homo sapiens (human)	Metabolism; Carbohydrate metabolism	Metabolism
