pathways	KEGGREST_genes	name	pathwayclass	category
hsa00072	3157, 3158, 3155, 54511, 5019, 64064, 39, 38, 622, 56898	Synthesis and degradation of ketone bodies - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
hsa00100	2222, 6713, 4047, 1595, 7108, 3930, 6307, 50814, 51478, 10682, 1718, 6309, 1717, 3988, 1056, 8435, 6646, 120227, 1594, 1591	Steroid biosynthesis - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
hsa00120	10858, 51302, 80270, 9023, 9420, 1581, 1593, 1582, 6718, 1109, 10998, 23600, 8309, 3295, 6342, 10005, 570	Primary bile acid biosynthesis - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
hsa00130	6898, 27235, 51004, 51805, 84274, 10229, 1728, 2677, 79001, 154807, 3242	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	Metabolism; Metabolism of cofactors and vitamins	Metabolism
hsa00140	1583, 1586, 412, 6820, 1589, 3283, 3284, 6715, 6716, 79644, 1646, 8644, 1584, 1585, 6718, 1109, 3290, 374875, 3291, 1645, 9420, 6783, 3292, 3294, 8630, 51478, 7923, 51144, 79154, 1543, 1544, 1577, 1551, 100861540, 1571, 1576, 1545, 1588, 1581, 10941, 79799, 7367, 10720, 54490, 54578, 54657, 54658, 54659, 7365, 54600, 7364, 54575, 54576, 54579, 7366, 54577, 7363, 574537, 1312, 220074, 3293	Steroid hormone biosynthesis - Homo sapiens (human)	Metabolism; Lipid metabolism	Metabolism
hsa00190	4535, 4536, 4537, 4538, 4539, 4540, 4541, 4719, 4720, 4722, 4724, 4725, 4726, 374291, 4728, 4723, 4729, 4731, 4694, 4695, 4696, 4697, 56901, 4698, 4700, 4701, 4702, 4704, 4705, 4706, 126328, 55967, 51079, 4707, 4708, 4709, 4710, 4711, 4712, 4713, 4714, 4715, 4716, 54539, 4717, 4718, 100532726, 6389, 6390, 6391, 6392, 7386, 4519, 1537, 7384, 7385, 7388, 440567, 7381, 27089, 29796, 10975, 1352, 4514, 4512, 4513, 84701, 1327, 9377, 1329, 1337, 1339, 1340, 125965, 1345, 1346, 1347, 9167, 1349, 170712, 1350, 341947, 1351, 1353, 1355, 10063, 54205, 498, 506, 509, 513, 514, 539, 4508, 515, 516, 517, 518, 10476, 521, 9551, 10632, 522, 4509, 523, 525, 526, 245973, 528, 51382, 90423, 529, 9296, 9550, 127124, 534, 51606, 10312, 23545, 50617, 535, 527, 533, 9114, 245972, 8992, 155066, 537, 495, 496, 479, 27068, 5464, 64077	Oxidative phosphorylation - Homo sapiens (human)	Metabolism; Energy metabolism	Metabolism
hsa00220	5009, 445, 435, 384, 383, 4842, 4843, 4846, 27165, 2744, 2752, 2747, 2746, 1373, 2805, 137362, 2806, 84706, 2875, 162417, 95, 100526760	Arginine biosynthesis - Homo sapiens (human)	Metabolism; Amino acid metabolism	Metabolism
hsa00230	53343, 56985, 11164, 5236, 55276, 221823, 5634, 5631, 5471, 2618, 5198, 10606, 158, 471, 353, 22978, 84618, 93034, 30833, 56953, 100526794, 4907, 51251, 115024, 4860, 3251, 3614, 3615, 10201, 29922, 4831, 4833, 4830, 4832, 654364, 221264, 956, 377841, 953, 124583, 9583, 957, 955, 131870, 3704, 7498, 318, 8833, 2766, 51292, 9615, 2987, 5315, 5313, 6240, 50484, 6241, 1716, 374659, 58497, 107, 108, 109, 196883, 111, 112, 113, 114, 115, 55811, 2977, 2982, 2983, 2984, 3000, 2986, 4881, 4882, 5136, 5153, 5137, 5138, 5139, 5140, 8654, 5145, 5158, 5146, 5147, 5148, 5149, 5152, 10846, 50940, 122622, 159, 271, 272, 270, 132, 1633, 100, 51816, 122481, 205, 26289, 204, 203, 390877, 158067, 102157402, 50808, 954, 84284, 5141, 5142, 5143, 5144, 5150, 27115, 8622, 5151, 2272, 22875, 9060, 9061, 5167, 5169, 646625, 55821	Purine metabolism - Homo sapiens (human)	Metabolism; Nucleotide metabolism	Metabolism
hsa00232	1544, 10, 9, 1548, 1549, 7498	Caffeine metabolism - Homo sapiens (human)	Metabolism; Biosynthesis of other secondary metabolites	Metabolism
hsa00240	790, 1723, 7372, 51727, 129607, 10201, 29922, 4831, 4833, 4830, 4832, 654364, 221264, 956, 377841, 953, 124583, 9583, 957, 955, 1503, 56474, 83549, 7371, 54963, 22978, 84618, 93034, 30833, 56953, 100526794, 4907, 51251, 115024, 151531, 7378, 1806, 1807, 51733, 5167, 5169, 6240, 50484, 6241, 79077, 1854, 7298, 978, 1890, 4860, 1633, 1635, 7084, 7083, 1841, 318	Pyrimidine metabolism - Homo sapiens (human)	Metabolism; Nucleotide metabolism	Metabolism
hsa00250	2805, 137362, 2806, 259307, 8528, 80150, 440, 56954, 84706, 2875, 189, 64902, 445, 435, 122622, 159, 158, 339983, 57494, 284716, 2346, 443, 2571, 2572, 18, 7915, 2747, 2746, 8659, 2752, 790, 27165, 2744, 1373, 9945, 2673, 5471	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	Metabolism
hsa00260	6472, 6470, 189, 9380, 132158, 5223, 5224, 441531, 669, 26227, 29968, 5723, 23464, 211, 212, 4129, 4128, 8639, 314, 2731, 275, 1738, 2653, 1610, 64902, 2628, 2593, 55349, 501, 635, 29958, 51268, 1757, 27232, 875, 102724560, 1491, 10993, 113675, 63826	Glycine, serine and threonine metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	Metabolism
hsa00270	1491, 56267, 883, 875, 102724560, 635, 23743, 4548, 27430, 4143, 4144, 262, 6723, 6611, 4507, 84245, 51074, 58478, 55256, 6898, 259307, 1786, 1788, 1789, 23382, 10768, 191, 587, 586, 64902, 2729, 2730, 2937, 1036, 2805, 137362, 2806, 4357, 7263, 160287, 92483, 3939, 3945, 3948, 4190, 4191, 10993, 113675, 26227, 29968	Cysteine and methionine metabolism - Homo sapiens (human)	Metabolism; Amino acid metabolism	Metabolism
hsa00280	587, 586, 259307, 593, 594, 1629, 1738, 35, 34, 3712, 36, 27034, 3030, 1962, 1892, 3033, 3028, 30, 10449, 3032, 5095, 5096, 84693, 4594, 26275, 11112, 4329, 217, 224, 219, 501, 223, 316, 197322, 18, 64902, 56922, 64087, 549, 3155, 54511, 5019, 64064, 65985, 39, 38, 3157, 3158	Valine, leucine and isoleucine degradation - Homo sapiens (human)	Metabolism; Amino acid metabolism	Metabolism
hsa00290	10993, 113675, 587, 586	Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)	Metabolism; Amino acid metabolism	Metabolism
