SYMBOL,ENSEMBL,type
KLF6,ENSG00000067082,tf
RCOR1,ENSG00000089902,tf
ELK1,ENSG00000126767,tf
KMT2B,ENSG00000272333,tf
SMAD5,ENSG00000113658,tf
ZNF585B,ENSG00000245680,tf
SIN3B,ENSG00000127511,tf
DDX20,ENSG00000064703,tf
CBX1,ENSG00000108468,tf
MYRF,ENSG00000124920,tf
BCL11B,ENSG00000127152,tf
MXD3,ENSG00000213347,tf
ZC3H11A,ENSG00000058673,tf
FUS,ENSG00000089280,tf
ZNF221,ENSG00000159905,tf
RFX5,ENSG00000143390,tf
ZBTB6,ENSG00000186130,tf
ZNF501,ENSG00000186446,tf
ZNF501,ENSG00000281661,tf
PHF8,ENSG00000172943,tf
U2AF1,ENSG00000160201,tf
ZBTB11,ENSG00000066422,tf
PBX2,ENSG00000204304,tf
PBX2,ENSG00000225987,tf
PBX2,ENSG00000236353,tf
PBX2,ENSG00000232005,tf
PBX2,ENSG00000224952,tf
PBX2,ENSG00000206315,tf
PBX2,ENSG00000237344,tf
OVOL3,ENSG00000105261,tf
ZNF37A,ENSG00000075407,tf
ZBTB1,ENSG00000126804,tf
IRF3,ENSG00000126456,tf
ZSCAN16,ENSG00000196812,tf
ZNF513,ENSG00000163795,tf
SAFB,ENSG00000160633,tf
SUPT5H,ENSG00000196235,tf
TAF7,ENSG00000178913,tf
ARHGAP35,ENSG00000160007,tf
E2F7,ENSG00000165891,tf
ZNF837,ENSG00000152475,tf
CSDE1,ENSG00000009307,tf
ZKSCAN1,ENSG00000106261,tf
NCOA6,ENSG00000198646,tf
CDC5L,ENSG00000096401,tf
ZNF354B,ENSG00000178338,tf
POLR2B,ENSG00000047315,tf
BRD9,ENSG00000028310,tf
DEK,ENSG00000124795,tf
STAT1,ENSG00000115415,tf
HNF4G,ENSG00000164749,tf
CBX5,ENSG00000094916,tf
ZFP64,ENSG00000020256,tf
RBM39,ENSG00000131051,tf
U2AF2,ENSG00000063244,tf
ZNF7,ENSG00000147789,tf
PAX8,ENSG00000125618,tf
HNRNPUL1,ENSG00000105323,tf
HNRNPH1,ENSG00000169045,tf
HNRNPH1,ENSG00000284254,tf
NUFIP1,ENSG00000083635,tf
KLF9,ENSG00000119138,tf
DNMT3B,ENSG00000088305,tf
ZNF223,ENSG00000178386,tf
DEAF1,ENSG00000177030,tf
DEAF1,ENSG00000282712,tf
ZBTB7B,ENSG00000160685,tf
TRIM25,ENSG00000121060,tf
NR3C1,ENSG00000113580,tf
CAVIN1,ENSG00000177469,tf
ZNF701,ENSG00000167562,tf
ZNF785,ENSG00000197162,tf
ZFP3,ENSG00000180787,tf
E2F4,ENSG00000205250,tf
ZBTB7A,ENSG00000178951,tf
DNMT1,ENSG00000130816,tf
YBX3,ENSG00000060138,tf
REPIN1,ENSG00000214022,tf
ZNF157,ENSG00000147117,tf
ZNF444,ENSG00000167685,tf
MIER1,ENSG00000198160,tf
GMEB2,ENSG00000101216,tf
E2F1,ENSG00000101412,tf
ZNF133,ENSG00000125846,tf
MCM2,ENSG00000073111,tf
ZBTB5,ENSG00000168795,tf
ZNF544,ENSG00000198131,tf
ZNF544,ENSG00000283515,tf
NCOA3,ENSG00000124151,tf
BMI1,ENSG00000168283,tf
SRF,ENSG00000112658,tf
ZHX1,ENSG00000165156,tf
CBX2,ENSG00000173894,tf
SUZ12,ENSG00000178691,tf
IRF5,ENSG00000128604,tf
ZNF579,ENSG00000218891,tf
ZNF777,ENSG00000196453,tf
ZNF423,ENSG00000102935,tf
MCM5,ENSG00000100297,tf
ZNF512B,ENSG00000196700,tf
ZNF3,ENSG00000166526,tf
NFXL1,ENSG00000170448,tf
ZNF707,ENSG00000181135,tf
ZNF707,ENSG00000274352,tf
RFXANK,ENSG00000064490,tf
PTBP1,ENSG00000011304,tf
NCOA4,ENSG00000266412,tf
ZNF626,ENSG00000188171,tf
RFX3,ENSG00000080298,tf
SREBF2,ENSG00000198911,tf
SNIP1,ENSG00000163877,tf
ZNF266,ENSG00000174652,tf
ZNF740,ENSG00000139651,tf
SIX5,ENSG00000177045,tf
CEBPZ,ENSG00000115816,tf
XRCC3,ENSG00000126215,tf
PYGO2,ENSG00000163348,tf
ZNF560,ENSG00000198028,tf
ZZZ3,ENSG00000036549,tf
CBLL2,ENSG00000175809,tf
ZNF768,ENSG00000169957,tf
ZFP41,ENSG00000181638,tf
ZNF791,ENSG00000173875,tf
ZNF670,ENSG00000277462,tf
CCAR2,ENSG00000158941,tf
MCM7,ENSG00000166508,tf
PHB2,ENSG00000215021,tf
ZFP36,ENSG00000128016,tf
POU5F1,ENSG00000204531,tf
POU5F1,ENSG00000233911,tf
POU5F1,ENSG00000206454,tf
POU5F1,ENSG00000230336,tf
POU5F1,ENSG00000237582,tf
POU5F1,ENSG00000229094,tf
POU5F1,ENSG00000235068,tf
PRDM2,ENSG00000116731,tf
MCM3,ENSG00000112118,tf
ZNF521,ENSG00000198795,tf
ZNF571,ENSG00000180479,tf
ZNF624,ENSG00000197566,tf
ZNF488,ENSG00000265763,tf
ZNF114,ENSG00000178150,tf
ZNF274,ENSG00000171606,tf
SMAD2,ENSG00000175387,tf
SNRNP70,ENSG00000104852,tf
ZNF776,ENSG00000152443,tf
ZSCAN18,ENSG00000121413,tf
SRSF7,ENSG00000115875,tf
ZNF416,ENSG00000083817,tf
ZNF169,ENSG00000175787,tf
ZNF239,ENSG00000196793,tf
ZNF747,ENSG00000169955,tf
THRA,ENSG00000126351,tf
ZNF148,ENSG00000163848,tf
RBBP5,ENSG00000117222,tf
ZNF140,ENSG00000196387,tf
CBX8,ENSG00000141570,tf
ZNF704,ENSG00000164684,tf
E4F1,ENSG00000167967,tf
KDM5A,ENSG00000073614,tf
AEBP2,ENSG00000139154,tf
ZNF16,ENSG00000170631,tf
ZSCAN26,ENSG00000197062,tf
ZNF404,ENSG00000176222,tf
E2F8,ENSG00000129173,tf
ZNF211,ENSG00000121417,tf
ZNF155,ENSG00000204920,tf
ZNF302,ENSG00000089335,tf
ZNF23,ENSG00000167377,tf
ZNF174,ENSG00000103343,tf
ZNF530,ENSG00000183647,tf
ZNF350,ENSG00000256683,tf
ZNF112,ENSG00000062370,tf
ZNF280C,ENSG00000056277,tf
ZNF622,ENSG00000173545,tf
ZNF433,ENSG00000197647,tf
ZNF547,ENSG00000152433,tf
ZNF26,ENSG00000198393,tf
ZBTB49,ENSG00000168826,tf
ZNF138,ENSG00000197008,tf
TSC22D4,ENSG00000166925,tf
HSF1,ENSG00000185122,tf
HSF1,ENSG00000284774,tf
POLR3G,ENSG00000113356,tf
PPP1R10,ENSG00000204569,tf
PPP1R10,ENSG00000230995,tf
PPP1R10,ENSG00000231737,tf
PPP1R10,ENSG00000238104,tf
PPP1R10,ENSG00000235291,tf
PPP1R10,ENSG00000206489,tf
PPP1R10,ENSG00000227804,tf
ZNF8,ENSG00000278129,tf
ATM,ENSG00000149311,tf
SIX4,ENSG00000100625,tf
ZNF311,ENSG00000197935,tf
ZNF311,ENSG00000225351,tf
ZNF311,ENSG00000223687,tf
ZNF311,ENSG00000233831,tf
ZNF311,ENSG00000235589,tf
ZNF311,ENSG00000235178,tf
ZNF311,ENSG00000169260,tf
ZNF473,ENSG00000142528,tf
ZNF248,ENSG00000198105,tf
ZNF202,ENSG00000166261,tf
ZNF621,ENSG00000172888,tf
PLRG1,ENSG00000171566,tf
ZNF132,ENSG00000131849,tf
SFPQ,ENSG00000116560,tf
ZNF282,ENSG00000170265,tf
ZNF175,ENSG00000105497,tf
PDK4,ENSG00000004799,target
PDK2,ENSG00000005882,target
ALDH3B1,ENSG00000006534,target
SLC2A3,ENSG00000059804,target
PFKP,ENSG00000067057,target
PKM,ENSG00000067225,target
PDK3,ENSG00000067992,target
ALDH3A2,ENSG00000072210,target
ENO1,ENSG00000074800,target
PGM1,ENSG00000079739,target
DLD,ENSG00000091140,target
PCK2,ENSG00000100889,target
PGK1,ENSG00000102144,target
GPI,ENSG00000105220,target
GAPDHS,ENSG00000105679,target
GCK,ENSG00000106633,target
ENO3,ENSG00000108515,target
ALDH3A1,ENSG00000108602,target
ALDOC,ENSG00000109107,target
ALDH2,ENSG00000111275,target
GAPDH,ENSG00000111640,target
TPI1,ENSG00000111669,target
ENO2,ENSG00000111674,target
PFKFB4,ENSG00000114268,target
SLC2A1,ENSG00000117394,target
AKR1A1,ENSG00000117448,target
PFKFB2,ENSG00000123836,target
PCK1,ENSG00000124253,target
FBP2,ENSG00000130957,target
ACSS2,ENSG00000131069,target
ACLY,ENSG00000131473,target
G6PC1,ENSG00000131482,target
PDHA1,ENSG00000131828,target
ALDH3B2,ENSG00000132746,target
LDHA,ENSG00000134333,target
ALDOB,ENSG00000136872,target
ALDH1B1,ENSG00000137124,target
KHK,ENSG00000138030,target
G6PC3,ENSG00000141349,target
PFKL,ENSG00000141959,target
SLC2A5,ENSG00000142583,target
ALDH9A1,ENSG00000143149,target
PKLR,ENSG00000143627,target
GALM,ENSG00000143891,target
ALDOA,ENSG00000149925,target
DLAT,ENSG00000150768,target
G6PC2,ENSG00000152254,target
PDK1,ENSG00000152256,target
PFKM,ENSG00000152556,target
ACSS1,ENSG00000154930,target
HKDC1,ENSG00000156510,target
HK1,ENSG00000156515,target
PFKFB1,ENSG00000158571,target
ADPGK,ENSG00000159322,target
HK2,ENSG00000159399,target
G6PD,ENSG00000160211,target
HK3,ENSG00000160883,target
TKT,ENSG00000163931,target
ALDH7A1,ENSG00000164904,target
LDHAL6A,ENSG00000166800,target
PDHB,ENSG00000168291,target
PGM2,ENSG00000169299,target
PFKFB3,ENSG00000170525,target
PGK2,ENSG00000170950,target
PGAM1,ENSG00000171314,target
LDHAL6B,ENSG00000171989,target
BPGM,ENSG00000172331,target
PC,ENSG00000173599,target
SLC2A4,ENSG00000181856,target
ADH7,ENSG00000196344,target
ADH1B,ENSG00000196616,target
ADH5,ENSG00000197894,target
PGAM4,ENSG00000226784,target
ADH1C,ENSG00000248144,target
